job,<성격> 성취/노력,<성격> 인내,<성격> 책임성과 진취성,<성격> 리더십,<성격> 협조,<성격> 타인에대한 배려,<성격> 사회성,<성격> 자기통제,<성격> 스트레스감내성,<성격> 적응성/융통성,<성격> 신뢰성,<성격> 꼼꼼함,<성격> 정직성,<성격> 독립성,<성격> 혁신,<성격> 분석적 사고,<지식> 경영 및 행정_중요도,<지식> 사무_중요도,<지식> 경제와 회계_중요도,<지식> 영업과 마케팅_중요도,<지식> 고객서비스_중요도,<지식> 인사_중요도,<지식> 상품제조 및 공정_중요도,<지식> 식품생산_중요도,<지식> 컴퓨터와 전자공학_중요도,<지식> 공학과 기술_중요도,<지식> 디자인_중요도,<지식> 건축및설계_중요도,<지식> 기계_중요도,<지식> 산수와 수학_중요도,<지식> 물리_중요도,<지식> 화학_중요도,<지식> 생물_중요도,<지식> 심리_중요도,<지식> 사회와인류_중요도,<지식> 지리_중요도,<지식> 의료_중요도,<지식> 상담_중요도,<지식> 교육및훈련_중요도,<지식> 국어_중요도,<지식> 영어_중요도,<지식> 예술_중요도,<지식> 역사_중요도,<지식> 철학과신학_중요도,<지식> 안전과보안_중요도,<지식> 법_중요도,<지식> 통신_중요도,<지식> 의사소통과미디어_중요도,<지식> 운송_중요도,산업유형,근무업체 유형,근무업체 규모,요구자격,업무 관련 사내/외 훈련 필요성,관련된 업무경험,교육수준,사회적 평판_사회적 기여/타인의 인정 받음,사회적 평판_자녀의 동일 직업 선택시 지지,사회적 평판_자녀에게 동일 직업 권유,직업 안정성,발전 가능성,근무조건,직무만족_급여,직무만족_승진,직무만족_상사,직무만족_동료,직무만족_전반적,직무몰입_전직 희망,직무몰입_평생직업 인식,직무몰입_천직 인식,정신건강_즐겁고 기분이 좋았다,정신건강_마음이 차분하고 편안했다,정신건강_활발하고 활기찼다,정신건강_아침에 피로가 다 가셔서 상쾌하게 일어났다,정신건강_일상생활은 흥미로운 것들로 가득 차있었다,가정생활이나 사회생활 어려움,일과 생활 균형_업무걱정,일과 생활 균형_집안일을 못함,일과 생활 균형_가족과 함께 보낼 수 있는 시간 부족,일과 생활 균형_일 하는데 시간 부족,일과 생활 균형_일에 시간을 할애하지 못함,감정노동 비율,직업세계 변화 관련_새로운 제조기술 개발,직업세계 변화 관련_새로운 컴퓨터 프로그램 도입 및 사용,직업세계 변화 관련_새로운 기계나 장비 도입 및 사용,"직업세계 변화 관련_새로운 상품/서비스 개발,추진","직업세계 변화 관련_재구조화,재조직화","직업세계 변화 관련_신기술 재교육 및 훈련,필요성 인식",직업세계 변화 관련_인적 구조조정 진행,직업세계 변화 관련_업무 과다,직업세계 변화 관련_업무 난이도 증가,직업세계 변화 관련_향후 5년 기술적 변화요인으로 인한 대체 가능성,향후 일자리 변화,중장년 적합성_신규진입적절,중장년 적합성_경력과 전문성 활용,중장년 적합성_작업환경 적절,성별,연령,최종학력,고용형태,임금근로자 근로소득(연봉),임금근로자 초임임금(연봉),비임금근로자 순수입(연봉)
AI·머신러닝 엔지니어,4.233333333,4.133333333,4.266666667,3.366666667,4.033333333,3.4,3.433333333,3.8,3.9,3.866666667,4.2,4.233333333,3.633333333,3.566666667,4.133333333,4.533333333,2.2,2.966666667,2.333333333,2.3,2.833333333,2.166666667,1.9,1.3,4.033333333,3.366666667,2.566666667,1.533333333,2.2,3.966666667,2.133333333,1.4,1.4,2.366666667,2.133333333,1.3,1.766666667,1.9,2.8,2.633333333,3.266666667,1.533333333,1.366666667,1.433333333,2.433333333,2.366666667,3.5,2.966666667,1.3,12.13333333,1,2.433333333,1.8,1.2,5.1,5.133333333,3.866666667,3.733333333,3.6,3.9,4.333333333,3.666666667,3.266666667,3.9,3.9,3.666666667,3.6,2.266666667,3.433333333,3.533333333,3.933333333,4.033333333,3.833333333,3.566666667,3.633333333,2.266666667,2.833333333,2.333333333,2.266666667,2,1.866666667,2.3,1.6,1.2,1.6,1.333333333,1.466666667,1.5,1.733333333,1.833333333,1.766666667,1.933333333,3.666666667,2,2.533333333,2.266666667,1.2,35.7,4.433333333,1.066666667,2642.666667,1993.333333,250
UX/UI 디자이너,3.633333333,3.433333333,3.766666667,3.466666667,4.1,3.633333333,3.366666667,3.633333333,3.633333333,4.033333333,3.633333333,4.2,3.066666667,3.1,3.766666667,3.8,2.066666667,2.766666667,1.8,2.866666667,3,1.933333333,2.133333333,1.266666667,2.9,1.966666667,4.1,1.766666667,1.733333333,1.8,1.4,1.333333333,1.366666667,3.166666667,2.3,1.6,1.533333333,2.166666667,2.6,2.433333333,2.5,3.133333333,1.666666667,1.666666667,1.8,2.166666667,2.466666667,3.4,1.566666667,12.4,1,2.233333333,1.833333333,1.233333333,4.6,4.3,3.533333333,3.2,2.9,3.2,3.866666667,3.133333333,2.966666667,3.4,4.133333333,4.033333333,3.433333333,2.6,2.866666667,3.3,3.433333333,3.566666667,3.266666667,2.466666667,3.366666667,2.666666667,2.933333333,2.866666667,2.8,2.433333333,2.3,3.3,1.766666667,1.4,1.733333333,1.5,1.6,1.566666667,1.966666667,1.8,1.766666667,1.8,2.8,1.666666667,1.966666667,2.2,1.6,32.7,3.8,1.233333333,2618.766667,1745.666667,1046.666667
가상(증강)현실전문가,3.966666667,3.766666667,3.633333333,3.266666667,4.1,3.5,3.4,3.566666667,3.566666667,3.833333333,3.966666667,3.966666667,3.1,3.1,3.633333333,3.8,2.133333333,2.7,2.233333333,2.733333333,2.6,2.266666667,2.1,1.366666667,3.733333333,2.833333333,2.866666667,1.466666667,1.966666667,3.366666667,2.133333333,1.466666667,1.433333333,1.866666667,1.633333333,1.533333333,1.466666667,1.666666667,2.066666667,2.133333333,2.966666667,2,1.466666667,1.533333333,2.333333333,1.966666667,2.666666667,2.866666667,1.433333333,10.56666667,1.066666667,2.2,1.733333333,1.2,4.733333333,4.033333333,3.5,3.133333333,2.9,3.1,3.866666667,2.933333333,3,3.4,3.6,3.666666667,3.433333333,2.966666667,2.7,2.966666667,3.266666667,3.466666667,3,2.833333333,2.866666667,3,3.166666667,2.566666667,2.9,2.433333333,2.266666667,2.966666667,1.666666667,1.5,1.5,1.566666667,1.666666667,1.566666667,1.9,1.8,1.833333333,2.2,3.366666667,1.733333333,2.5,2.4,1.066666667,37.7,4.033333333,1.166666667,3275,2116.666667,581.3333333
가수,3.5,3.6,3.466666667,3.166666667,3.4,3.566666667,3.4,3.8,3.6,3.666666667,3.666666667,3.666666667,3.366666667,3.533333333,3.266666667,3.433333333,1.733333333,1.6,1.633333333,2.166666667,2.233333333,1.8,1.766666667,1.133333333,2.166666667,1.233333333,1.8,1.166666667,1.466666667,1.3,1.166666667,1.133333333,1.166666667,1.966666667,1.566666667,1.266666667,1.366666667,1.8,2,1.733333333,1.8,3.9,1.433333333,1.433333333,1.366666667,1.566666667,2.733333333,2.566666667,1.266666667,19.46666667,3.733333333,1.366666667,2,1.266666667,6.1,3.766666667,3.833333333,3.266666667,3,3.666666667,4.033333333,3.1,2.533333333,6.866666667,6.733333333,6.333333333,3.466666667,2,3.833333333,3.966666667,3.833333333,3.7,3.766666667,3.466666667,3.6,3.366666667,3.366666667,3.066666667,2.833333333,2.2,2.433333333,4.066666667,1.833333333,1.8,1.8,1.833333333,1.833333333,1.833333333,1.866666667,1.833333333,1.8,1.4,3.466666667,2.8,2.633333333,2.366666667,1.5,35.83333333,4,1.366666667,1986.666667,783.3333333,1353.333333
간호·간병,3.683333333,3.9,4.083333334,3.066666667,3.85,4,3.933333334,3.9,3.983333334,3.583333333,3.916666667,4.25,4.166666667,3.033333333,2.633333334,2.883333334,1.5,2.316666667,1.433333333,1.45,3.266666667,1.5,1.066666667,1.05,2.016666667,1.083333333,1.033333334,1.016666667,1.516666667,1.95,1.516666667,1.716666667,2.3,2.75,1.833333333,1.2,4.016666667,2.75,2.366666667,1.866666667,2.35,1.166666666,1.05,1.416666666,2.283333334,1.9,2.216666667,2.483333334,1.4,17,1.716666666,3.35,1,1.4,3.85,3.666666667,3.8,3.366666667,3.216666667,3.8,3.75,3.483333334,3.2,3.1,3.383333333,3.716666667,3.566666666,2.45,3.333333333,3.133333334,3.7,3.866666666,3.6,3.366666667,3.333333333,2.633333334,2.366666667,2.666666667,2.5,2.1,2.133333334,3.566666666,1.95,1.916666666,1.85,1.933333333,1.95,1.916666666,1.933333333,1.916666666,1.966666667,1.616666667,3.633333334,2.733333334,2.95,2.533333334,1.966666667,39.06666667,3.133333333,1,3302.6,2228.333333,0
개그맨 및 코미디언,3.966666667,4,4.066666667,3.833333333,4.2,4,3.9,3.866666667,3.933333333,4.1,3.933333333,3.8,3.4,3.8,3.933333333,3.733333333,2.233333333,2.233333333,2.133333333,2.833333333,3.133333333,2.533333333,1.933333333,1.7,2.333333333,1.666666667,2.333333333,1.566666667,1.7,1.766666667,1.6,1.533333333,1.666666667,3.4,2.6,2.066666667,1.966666667,2.5,2.466666667,3.066666667,2.2,3.533333333,2.533333333,2.233333333,2.233333333,2.366666667,2.366666667,3.333333333,1.633333333,11.33333333,3.333333333,4.433333333,1.933333333,1.466666667,4.533333333,2.833333333,3.766666667,3.333333333,3,3.3,3.733333333,3.133333333,2.833333333,3.9,3.7,3.666666667,3.433333333,2.566666667,3.5,3.6,3.8,3.666666667,3.9,3.133333333,3.366666667,2.966666667,3.266666667,2.733333333,2.8,2.233333333,2.433333333,3.666666667,1.766666667,1.766666667,1.666666667,1.766666667,1.766666667,1.833333333,1.833333333,1.8,1.833333333,1.933333333,2.3,2.633333333,2.7,2.6,1.266666667,42.43333333,3.3,1.533333333,1303.333333,896.6666667,1066.666667
건축가(건축설계사),4.466666667,4.1,4.466666667,3.466666667,3.966666667,3.4,3.466666667,3.4,3.733333333,3.9,4.2,4.566666667,3.5,3.8,3.7,3.7,2.433333333,2.933333333,2.066666667,2.3,2.766666667,1.633333333,1.366666667,1,3,3.5,3.833333333,4.166666667,2.3,2.566666667,1.8,1.733333333,1,1.833333333,1.6,2,1.033333333,1.6,1.866666667,1.733333333,1.9,1.966666667,1.8,1.5,3.033333333,2.7,1.966666667,2.2,1.5,6,1,1.766666667,1,1.3,4.566666667,4.666666667,3.966666667,3.566666667,3.533333333,4.133333333,4.2,3.3,3.2,4,4.266666667,4.233333333,3.666666667,2.2,3.833333333,3.7,3.866666667,3.633333333,3.6,3.4,2.866666667,2.733333333,2.5,2.533333333,2.866666667,2.4,2.4,2.433333333,2,1.966666667,1.966666667,2,2,1.966666667,2,1.933333333,2,1.666666667,2.733333333,2.166666667,2.766666667,2.833333333,1.166666667,44.26666667,3.866666667,1.166666667,3993.333333,2393.333333,956.6666667
건축구조 기술자,3.733333333,3.533333333,3.9,3.233333333,3.733333333,3.133333333,3.333333333,3.466666667,3.5,3.633333333,4,3.966666667,3.7,2.866666667,2.966666667,3.866666667,2.333333333,2.866666667,2.333333333,2.6,3.066666667,2.533333333,2.266666667,1.633333333,2.733333333,3.733333333,2.666666667,3.9,2.3,3.8,3.233333333,2.166666667,1.666666667,1.866666667,1.866666667,2.333333333,1.566666667,1.8,2.666666667,2.566666667,2.366666667,1.6,1.566666667,1.5,3.233333333,3.566666667,1.966666667,2.3,1.8,6.3,1.033333333,2.466666667,1.2,1.2,5.033333333,4.8,3.833333333,3.3,3.1,4.1,4.166666667,3.133333333,3.066666667,3.533333333,3.6,4.066666667,3.466666667,2.633333333,3.633333333,3.2,3.833333333,3.7,3.7,3.266666667,3.5,2.833333333,3.166666667,2.6,2.8,2.1,2.2,3.1,1.933333333,1.733333333,1.833333333,1.9,1.9,1.666666667,1.9,1.833333333,1.766666667,2.133333333,2.7,2.133333333,3.2,2.666666667,1.3,36.8,4.2,1.1,3472,2418.666667,886.6666667
건축시공 기술자 및 견적원,3.233333333,3.066666667,3.366666667,3.566666667,3.533333333,3.2,3.3,3.1,3.533333333,3.133333333,3.3,4.133333333,2.933333333,2.733333333,2.533333333,3,1.966666667,2.766666667,1.966666667,1.733333333,1.9,1.733333333,1.866666667,1.233333333,2.466666667,2.733333333,2.333333333,3.566666667,2,2.533333333,1.966666667,1.433333333,1.266666667,1.533333333,1.266666667,1.4,1.2,1.333333333,1.833333333,1.7,1.466666667,1.2,1.233333333,1.266666667,2.433333333,2.2,1.933333333,2.033333333,1.366666667,6,1,3.233333333,1.433333333,1.566666667,5.2,4.433333333,3.133333333,2.833333333,2.6,3.4,3.733333333,2.7,2.833333333,3.2,3.4,3.566666667,3.233333333,2.566666667,3.333333333,3.1,3.2,3.3,3.233333333,2.733333333,2.8,3.366666667,2.7,2.733333333,2.633333333,2.133333333,2.133333333,3.7,1.9,1.833333333,1.766666667,1.933333333,1.933333333,1.933333333,1.933333333,1.866666667,1.933333333,1.5,2.533333333,2,2.133333333,2.1,1.2,34.9,3.7,1.066666667,4130,2952,283.3333333
경영관리,3.788888889,3.722222222,3.9,3.366666667,3.866666667,3.588888889,3.6,3.733333333,3.733333333,3.588888889,4.111111111,4.2,4.044444444,3.322222222,2.888888889,3.3,3.477777778,3.6,3.133333333,2.5,2.655555556,2.911111111,1.833333333,1.3,2.477777778,1.433333333,1.344444445,1.188888889,1.5,2.644444444,1.366666667,1.288888889,1.244444444,2.333333333,1.833333333,1.433333334,1.344444444,2.388888889,2.566666667,2.688888889,2.466666667,1.322222222,1.433333333,1.411111111,2.444444445,2.911111111,2.377777778,2.8,1.644444445,7.988888889,1.244444444,4.144444444,1.844444445,1.366666667,4.322222222,4.422222222,3.666666667,3.133333333,2.833333333,3.455555555,3.544444444,3.322222222,3.211111111,3.288888889,3.588888889,3.722222222,3.422222222,2.711111111,2.977777778,2.966666667,3.277777778,3.7,3.388888889,3.1,2.744444445,2.455555555,2.722222222,2.611111111,2.566666666,2.155555556,1.988888889,3.044444445,1.922222222,1.833333333,1.9,1.877777778,1.877777778,1.911111111,1.811111111,1.933333334,1.955555556,2.088888889,2.322222222,2.633333333,3,2.944444444,1.522222222,40.37777778,3.9,1.022222222,4491.388889,2802.122222,53.33333333
